* ETABS_VERSION
22.5.1

* MODEL_NAME
C:\Users\kkolozvari\CSU Fullerton Dropbox\Kristijan Kolozvari\Consulting\STKO\ETABS Examples\40_Story_Rc_Core_Wall_Bldng_e4.3.EDB

* UNITS
kip, in, F

* JOINT_COORDINATES
# UniqueName,X,Y,Z
1,0.0,0.0,0.0
2,1.0,0.0,0.0
3,1.0,1.0,0.0
4,0.0,1.0,0.0
5,0.0,0.0,1.0
6,1.0,0.0,1.0
7,1.0,1.0,1.0
8,0.0,1.0,1.0

* FRAMES_CONNECTIVITY
# UniqueName,PointI,PointJ,LocalAxesRot
1,1,2,0.0
2,2,3,0.0
3,3,4,0.0
4,4,1,0.0
5,1,3,0.0
6,4,2,0.0

7,1,5,0.0
8,2,6,0.0
9,3,7,0.0
10,4,8,0.0

11,1,6,0.0
12,5,2,0.0

13,2,7,0.0
14,6,3,0.0

15,3,8,0.0
16,7,4,0.0

17,4,5,0.0
18,8,1,0.0

* AREAS_CONNECTIVITY
1,5,6,7,8,45.0
